management,subscriber_id,md_id,date,gas_consumption,source,month,year,season,heating_season,month_name
г.Амвросиевка,101000007509,1755154,2020-01-01,75899,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000006020,2764544,2020-01-01,1136,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000009223,1759894,2020-01-01,27372,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000012224,3737956,2020-01-01,2573,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000009226,1759904,2020-01-01,47600,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000003897,1748640,2020-01-01,49430,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000007470,1755004,2020-01-01,2997,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002020,3000754,2020-01-01,18942,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000004390,1750332,2020-01-01,41792,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000005483,2705076,2020-01-01,3,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000010600,1736070,2020-01-01,8088,по квитанции,1,2020,winter,1,January
г.Амвросиевка,101000008610,1758312,2020-01-01,29254,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000003400,1746938,2020-01-01,64270,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005482,2705074,2020-01-01,702,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000001302,1739928,2020-01-01,63508,по телефону,1,2020,winter,1,January
г.Амвросиевка,101000011558,1738060,2020-01-01,25450,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000007158,1754324,2020-01-01,18375,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000010108,1735058,2020-01-01,14930,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000000342,1747000,2020-01-01,37663,по телефону,1,2020,winter,1,January
г.Амвросиевка,101000009930,2958914,2020-01-01,21850,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000000548,1752660,2020-01-01,69593,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000007346,1754694,2020-01-01,19346,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002739,1744674,2020-01-01,40261,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002740,1744678,2020-01-01,12251,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000006021,2839980,2020-01-01,2797,плановый объем,1,2020,winter,1,January
